Item ,Sim-Plaqueta,Não-Plaqueta,TOMBO,DESCRIÇÃO,Nº DE SÉRIE,UNIDADE ADMINISTRATIVA,DEPARTAMENTO,SALA,LOCALIZADO,Estado de Conservação,,,,Classificação,,,,,
23068,X,,25775,NOTEBOOK C/BOLSA P/TRANSPORTE/ACER/ASPIRE 5738-6294C,2CF62000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO,,,,X,,,X,,,,,
24906,X,,8885,"RADIO TRANSCEPTOR MOVEL 16 CANAIS,BAT. RESERVA,CLIP,CARREGADOR,AN/MOTOROLA/EP-450",018NJS0319,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO,,,,X,,,X,,,,,
24991,X,,8894,RADIO TRANSCEPTOR MOVEL/MOTOROLA/EP-450,018NJS037G,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO,,,,X,,,X,,,,,
1123,X,,47073,AR CONDICIONADO 12.000 BTUS (EVAPORADORA)/LG/SPLIT 12.000 BTUS,302AZYE85714,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
1124,X,,47103,AR CONDICIONADO 12.000 BTUS (EVAPORADORA)/LG/SPLIT 12.000 BTUS,302AZUJ7X718,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
1671,X,,40836,"ARMARIO ALTO,02 PORTAS,MED.900X1600X500MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
2061,X,,54673,"ARMARIO DE ACO,COR CINZA, COM 02 PORTAS COM CHAVE E 04 PRATELEIRA/NOBRE/PA 90",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
2289,X,,9257,ARMARIO EM ACO TIPO GUARDA-ROUPA COM 02 PORTAS E 50 ESCAMINHOS P///,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
2360,X,,836,ARMARIO EM ACO TIPO GUARDA-ROUPA/WCM/PA 90,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
2385,X,,662,ARMARIO EM MADEIRA TIPO GUARDA-ROUPA C/ 02 PORTAS DE CORRER DE VI//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
2422,X,,26306,ARMARIO MEDIO ESTRUTURAL TIPO ESTANTE MED.800X500X600X1060MM//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
2433,X,,40669,"ARMARIO MEDIO,C/02 PORTAS,MED.900X1100X500MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
6990,,X,24405,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
6993,X,,24418,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
6994,X,,24421,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
7775,X,,24419,CADEIRA FIXA/FLEXFORM/SECRETARIA,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
8201,,X,24774,"CADEIRA GIRATORIA AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,,,X,,X,,,,X
8897,X,,45929,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
9029,,X,24650,"CADEIRA GIRATORIA,DIGITADOR, AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
9042,X,,24742,"CADEIRA GIRATORIA,DIGITADOR,AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
9074,X,,25276,"CADEIRA GIRATORIA,PRESIDENTE,ESPALDAR ALTO,COR AZUL,C/BRACOS/FLEXFORM/PRESIDENTE",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
11384,X,,49808,CPU THINKCENTRE -CORE 15 3330/4GB/HD 500GB/COM MOUSE E TECLADO/LENOVO/M92P,152122AAPPERG289  ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
11386,X,,49843,CPU THINKCENTRE -CORE 15 3330/4GB/HD 500GB/COM MOUSE E TECLADO/LENOVO/M92P,152124A4PPERG279  ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
11387,X,,49942,CPU THINKCENTRE -CORE 15 3330/4GB/HD 500GB/COM MOUSE E TECLADO/LENOVO/M92P,152124PPRGMD562   ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
12637,,X,49222,CPU/LENOVO/,153484HUPPEAP020  ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
12949,X,,46003,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DALPRA OF1414 MA/MAPLE//OF1414,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
13030,X,,25818,ESTACAO DE TRABALHO C/01 MODULO OPERACIONAL MED.1500X1500X600X600//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
13032,X,,25820,ESTACAO DE TRABALHO C/01 MODULO OPERACIONAL MED.1500X1500X600X600//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
13033,X,,25821,ESTACAO DE TRABALHO C/01 MODULO OPERACIONAL MED.1500X1500X600X600//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
13034,X,,25822,ESTACAO DE TRABALHO C/01 MODULO OPERACIONAL MED.1500X1500X600X600//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
14184,X,,8682,"ESTANTE EM ACO COM 06 PRATELEIRAS, MOD. ED-4//",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14185,X,,8683,"ESTANTE EM ACO COM 06 PRATELEIRAS, MOD. ED-4//",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14187,X,,8943,"ESTANTE EM ACO COM 06 PRATELEIRAS, MOD. EDB-6//",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14195,X,,9572,ESTANTE EM ACO COM REFORCO LATERAL E TRAZEIRO EM CANTONEIRA//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14196,X,,9583,ESTANTE EM ACO COM REFORCO LATERAL E TRAZEIRO EM CANTONEIRA//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14197,X,,9585,ESTANTE EM ACO COM REFORCO LATERAL E TRAZEIRO EM CANTONEIRA//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,X,,,X,,,,,
14833,X,,27073,EXTINTOR DE INCEDIO/PROTEGE/EO17,13556581,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,,,X,,X,,,,X
15746,X,,39374,"GAVETEIRO VOLANTE,C/03 GAVETAS,MED.430X650X430MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
16298,,X,54095,IMPRESSORA LEXMARK,,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
16496,X,,9968,IMPRESSORA P/COMPUTADOR MULTIFUNCIONAL(JATO DE TINTA) DESKJET/HP/F-4180,CN755324H,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,,,X,,X,,,,X
18882,X,,26035,MESA RETANGULAR MED.1500X600X740MM//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
19447,X,,50229,MONITOR DE VIDEO - LCD - LED 20 POLEGADAS PRETO/LG/E2011P,309SPUU2E246,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
19448,X,,50231,MONITOR DE VIDEO - LCD - LED 20 POLEGADAS PRETO/LG/E2011P,309SPMZ2A267,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
19449,X,,50236,MONITOR DE VIDEO - LCD - LED 20 POLEGADAS PRETO/LG/E2011P,309SPBF2E253,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
19450,X,,50239,MONITOR DE VIDEO - LCD - LED 20 POLEGADAS PRETO/LG/E2011P,309SPHG2E473,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
21112,X,,49363,MONITOR/LENOVO/,VB22395,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
21277,X,,47454,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
21356,X,,47464,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000, GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL , CARTÓRIO II , DEPOSITO ,,,,,X,,X,,,,X
21357,X,,47507,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,DEPOSITO,,,,,X,,X,,,,X
26754,X,,18852,SWITCH,,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CARTÓRIO II,,,,X,,,X,,,,,
6983,,X,24199,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
6995,,X,24450,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
9039,,X,24675,"CADEIRA GIRATORIA,DIGITADOR,AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
9045,X,,24831,"CADEIRA GIRATORIA,DIGITADOR,AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
12635,X,,49219,CPU/LENOVO/,153484HUPPEAP27   ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
18281,X,,14695,MESA EM MADEIRA PARA DATILOGRAFO//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
19446,X,,50228,MONITOR DE VIDEO - LCD - LED 20 POLEGADAS PRETO/LG/E2011P,309SPQ52A236,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
21279,X,,47502,"MULTIFUNCIONAL,SCANNER,FAX,IMPRESSORA OFFICEJET PRO 8600 HP/HP/OFFICE PRO 8600",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
24892,,X,10403,"RADIO TRANSCEPTOR 45W,PORTATIL COMPLETO,VHF/FM/MOTOROLA/PRO5150",672NKG007F,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COMISSARIADO,,,,,X,,X,,,,,
4194,X,,73,BEBEDOURO ELETRICO P/GARRAFAO C/ 01 GARRAFAO DE 20 LITROS.//,745036001,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COPA,,,,,X,,X,,,,,
9038,,X,24673,"CADEIRA GIRATORIA,DIGITADOR,AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COPA,,,,,X,,X,,,,,
14995,X,,47212,"FOGÃO DE 04 BOCAS, A GÁS ACENDEDOR ELÉTRICO COM 04 QUEIMADORES/ESMALTEC/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,COPA,,,,,X,,X,,,,,
3961,X,,15873,BANCO DE ESPERA 03 LUGARES EM ALUMINIO FUNDIDO NA COR AZUL/FLEXIBASE/03 LUGARES,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,X,,X,,,,,
4001,X,,15833,BANCO DE ESPERA/FLEXIBASE/03 LUGARES,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,X,,X,,,,,
14809,X,,27340,"EXTINTOR DE INCEDIO 06 KG,TIPO PO QUIMICO/RESIL/A957/1",15764788,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
14813,X,,27080,EXTINTOR DE INCEDIO/PORTEGE/EO17,13556465,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
14814,X,,27093,EXTINTOR DE INCEDIO/PORTEGE/EO17,13556673,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
14834,X,,27105,EXTINTOR DE INCEDIO/PROTEGE/EO17,13556636,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
14873,X,,27343,EXTINTOR DE INCEDIO/RESIL/A957/1,15764253,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
14874,X,,27350,EXTINTOR DE INCEDIO/RESIL/A957/1,15764655,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,CORREDOR,,,,,,X,,X,,,,X
339,X,,16915,"AP.DE AR CONDICIONADO CENTRAL C/ CONDENSADORA/EVAPORADORA,24.000B/MIDEA/SPLIT",6120138,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
977,,X,15178,"APARELHO G.P.S CAMERA 3.2 MP,GEOREFERENCIA AUTOMATICA,BUSSOLA ELE/GARMIN/OREGON-550",1MW113104,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
1674,X,,40868,"ARMARIO ALTO,02 PORTAS,MED.900X1600X500MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
6986,,X,24236,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
6987,,X,24285,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
8253,X,,41312,"CADEIRA GIRATORIA C/BRACOS,COR AZUL/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
8903,X,,45937,CADEIRA GIRATÓRIA SECRETÁRIA 3004 BG INJ. AZUL MARINHO CAVALETTI /CAVALETTI/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
15116,X,,47907,FRAGMENTADORA DE PAPEL CAPAC. FRAG. 12 FOLHAS/ELGIN/FC 7121,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
20072,X,,44398,MONITOR DE VIDEO LCD/ITAUTEC/E-2241,4700235001061,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO ADJUNTO,,,,X,,,X,,,,,
286,X,,16825,"AP.DE AR CONDICIONADO CENTRAL C/ CONDENSADORA/EVAPORADORA,18.000B/MIDEA/SPLIT",7726120032,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
1699,X,,26346,"ARMARIO ALTO,C/02 PORTAS,MED.900X420X2100MM//",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
2436,X,,40672,"ARMARIO MEDIO,C/02 PORTAS,MED.900X1100X500MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
5502,X,,15179,"CADEIRA EM MADEIRA, FIXA SEM BRACO, TAM.PADRAO//",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
5863,X,,39894,CADEIRA ESTOFADA FIXA COR AZUL/FLEXFORM/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
6984,,X,24231,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
6992,X,,24411,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
8992,X,,41438,"CADEIRA GIRATORIA TIPO OPERACIONAL,ESPALDAR ALTO,COR AZUL/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
8993,X,,41439,"CADEIRA GIRATORIA TIPO OPERACIONAL,ESPALDAR ALTO,COR AZUL/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
9860,X,,47437,"CAMERA DIGITAL 4XZOOM 14,1 MP PAN MEMO 4GBS SONY DSC W610S/SONY/",8872408,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
9867,X,,48183,"CAMERA DIGITAL JX580 16.1 MP, 5X DE ZOOM OPTICO, FILMA EM HD,FOTO/FUJI/FINEPIX JX580",2RB39531,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
12994,X,,46002,ESTAÇÃO DE TRABALHO 02 LUGARES MAPLE DUPLA OF1414 MA/MAPLE//OF1414,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
15164,X,,47300,FRIGOBAR REFRIGERADOR 122 LITROS BRANCO 110V RE120/ELETROLUX/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
16155,,X,48976,GPS RECEPTOR COM CAMERA A PROVA DAGUA//,1MW130503,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
23158,X,,49155,NOTEBOOK/LENOVO/B490,PETM734,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
26946,X,,1679,TELEFONE,,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO REGIONAL,,,,X,,,X,,,,,
1668,X,,40832,"ARMARIO ALTO,02 PORTAS,MED.900X1600X500MM/ARTILINE/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
6998,X,,24489,"CADEIRA FIXA DE APROXIMACAO,COR AZUL,C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
7180,,X,24415,"CADEIRA FIXA DE APROXIMACAO,COR AZUL.C/BRACOS/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
9041,X,,24724,"CADEIRA GIRATORIA,DIGITADOR,AUTO REGULAVEL,COR AZUL,C/BRACOS/FLEXFORM/DIGITADOR",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
11385,X,,49814,CPU THINKCENTRE -CORE 15 3330/4GB/HD 500GB/COM MOUSE E TECLADO/LENOVO/M92P,152122AAPPERG412  ,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
15127,X,,49118,FREEZER HORIZONTAL CAP.305 A 317 LITROS/ELETROLUX/H-300,33401232,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
15165,X,,47411,FRIGOBAR REFRIGERADOR 122 LITROS BRANCO 110V RE120/ELETROLUX/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
17216,X,,41452,"LONGARINA 03 LUGARES,MED.460MMLX460MMP,COR AZUL/FLEXFORM/",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
21113,X,,49364,MONITOR/LENOVO/,VB22816,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DELEGADO TITULAR,,,,X,,,X,,,,,
10800,X,,42883,"COFRE PARA ARMA,EM ACO NA COR BEGE,01 PRATELEIRA/FORT SAFE/CA-153",047658,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,DEPOSITO,,,,X,,,X,,,,,
14872,X,,27331,EXTINTOR DE INCEDIO/RESIL/A957/1,15764236,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,ENTRADA,,,,,,X,,X,,,,X
2049,X,,46093,ARMÁRIO DE AÇO DPL AR PORTAS DE VIDRO ALLEGRA TOP BRANCO BERTOLIN/BERTOLINI/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
2423,X,,26308,ARMARIO MEDIO ESTRUTURAL TIPO ESTANTE MED.800X500X600X1060MM//,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,X,,,X,,,,,
2596,X,,40888,"ARMARIO TIPO ESTANTE,C/02 PORTAS BAIXAS,PARTE SUPERIOR ABERTA/ARTILINE/MED.900X1600X500MM",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
3883,X,,40951,"ARQUIVO,C/04 GAVETAS E NICHO NA PARTE SUPERIOR/ARTILINE/MED.480X1600X500MM",000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
7669,,X,24452,CADEIRA FIXA/FLEXFORM/,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
9288,X,,24717,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
9289,X,,24832,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
9290,X,,24864,CADEIRA GIRATORIA/FLEXFORM/DIGITADOR,000000,GUAJARA MIRIM- DELEGACIA REGIONAL DE POLICIA CIVIL,IDENTIFICAÇÃO,,,,,X,,X,,,,,
